Entity,DBpedia_URI
Lolo Soetoro,http://dbpedia.org/resource/Lolo_Soetoro
Barack Obama Sr.,http://dbpedia.org/resource/Barack_Obama_Sr.
the Brookings Institution,http://dbpedia.org/resource/Brookings_Institution
the City College of New York,http://dbpedia.org/resource/New_York_City
the Sandy Hook Elementary School,http://dbpedia.org/resource/Sandy_Hook_Elementary_School_shooting
C-SPAN,http://dbpedia.org/resource/C-SPAN
Project Cassandra,http://dbpedia.org/resource/Project_Cassandra
Elena Kagan,http://dbpedia.org/resource/Elena_Kagan
Kansas,http://dbpedia.org/resource/Kansas
The Brookings Institution,http://dbpedia.org/resource/Brookings_Institution
Michelle Obama,http://dbpedia.org/resource/Michelle_Obama
the Central Intelligence Agency,http://dbpedia.org/resource/Central_Intelligence_Agency
Palestinian,http://dbpedia.org/resource/Palestinians
Havana,http://dbpedia.org/resource/Havana
Mars,http://dbpedia.org/resource/Mars
Nelson Mandela,http://dbpedia.org/resource/Nelson_Mandela
George Zimmerman,http://dbpedia.org/resource/George_Zimmerman
Benghazi,http://dbpedia.org/resource/Benghazi
Alaska,http://dbpedia.org/resource/Alaska
Evan Bayh,http://dbpedia.org/resource/Evan_Bayh
Indiana,http://dbpedia.org/resource/Indiana
the Palestinian National Authority,http://dbpedia.org/resource/Palestinian_National_Authority
the Nobel Peace Prize,http://dbpedia.org/resource/Nobel_Peace_Prize
Denver,http://dbpedia.org/resource/Denver
the Great Depression,http://dbpedia.org/resource/Great_Depression
the Developing Communities Project,http://dbpedia.org/resource/Developing_Communities_Project
Somerville,http://dbpedia.org/resource/Somerville_station
the Federal Election Commission,http://dbpedia.org/resource/Federal_Election_Commission
Laurence Tribe,http://dbpedia.org/resource/Laurence_Tribe
the Space Shuttle Challenger,http://dbpedia.org/resource/Space_Shuttle
Iron Dome,http://dbpedia.org/resource/Iron_Dome
Keystone XL,http://dbpedia.org/resource/Keystone_Pipeline
Sochi,http://dbpedia.org/resource/Sochi
Yemen,http://dbpedia.org/resource/Yemen
