Entity,DBpedia_URI
the Imperial Diet,http://dbpedia.org/resource/National_Diet
Nazi Germany,http://dbpedia.org/resource/Nazi_Germany
Sanssouci Palace,http://dbpedia.org/resource/Sanssouci
Richard Strauss,http://dbpedia.org/resource/Richard_Strauss
the Saxon Switzerland National Park,http://dbpedia.org/resource/Saxon_Switzerland_National_Park
Martin Heidegger's,http://dbpedia.org/resource/Martin_Heidegger
the German Football Association,http://dbpedia.org/resource/German_Football_Association
Sinti,http://dbpedia.org/resource/Sinti
Vienna,http://dbpedia.org/resource/Vienna
Zentraler Sanitätsdienst,http://dbpedia.org/resource/Joint_Medical_Service_(Germany)
Tacitus,http://dbpedia.org/resource/Tacitus
Balkans,http://dbpedia.org/resource/Balkans
West Germany,http://dbpedia.org/resource/West_Germany
Hermann Muthesius,http://dbpedia.org/resource/Hermann_Muthesius
Cambridge University Press,http://dbpedia.org/resource/Cambridge_University_Press
Frankfurt Airport,http://dbpedia.org/resource/Frankfurt_Airport
the Berchtesgaden National Park,http://dbpedia.org/resource/Berchtesgaden_National_Park
Grimm,http://dbpedia.org/resource/Brothers_Grimm
the World Heritage List,http://dbpedia.org/resource/World_Heritage_Site
Namaqua,http://dbpedia.org/resource/Nama_people
Potsdam,http://dbpedia.org/resource/Potsdam
the Bavarian Forest National Park,http://dbpedia.org/resource/Bavarian_Forest_National_Park
UNESCO,http://dbpedia.org/resource/UNESCO
Michelin Guide,http://dbpedia.org/resource/Michelin_Guide
Augustus,http://dbpedia.org/resource/Augustus
Maria Theresa,http://dbpedia.org/resource/Maria_Theresa
Angela Merkel,http://dbpedia.org/resource/Angela_Merkel
Netherlands,http://dbpedia.org/resource/Netherlands
The Berlin International Film Festival,http://dbpedia.org/resource/Berlin_International_Film_Festival
the Fraunhofer Society,http://dbpedia.org/resource/Fraunhofer_Society
Wolfgang Rihm,http://dbpedia.org/resource/Wolfgang_Rihm
the Catholic Church,http://dbpedia.org/resource/Catholic_Church
Olaf Scholz,http://dbpedia.org/resource/Olaf_Scholz
Pritzker Prize,http://dbpedia.org/resource/Pritzker_Architecture_Prize
Alevites,http://dbpedia.org/resource/Alevism
Reichstag,http://dbpedia.org/resource/Reichstag_building
Ukraine,http://dbpedia.org/resource/Ukraine
the Napoleonic Wars,http://dbpedia.org/resource/Napoleonic_Wars
the Cologne War,http://dbpedia.org/resource/Cologne_War
the North Sea,http://dbpedia.org/resource/North_Sea
G20,http://dbpedia.org/resource/G20
Schleswig-Holstein,http://dbpedia.org/resource/Schleswig-Holstein
the Munich Agreement,http://dbpedia.org/resource/Munich_Agreement
NATO,http://dbpedia.org/resource/NATO
the Battle of Berlin,http://dbpedia.org/resource/Berlin
Wilhelm II,"http://dbpedia.org/resource/Wilhelm_II,_German_Emperor"
Namibia,http://dbpedia.org/resource/Namibia
Germania,http://dbpedia.org/resource/Germania
the University of Rostock,http://dbpedia.org/resource/Rostock
Karl Marx,http://dbpedia.org/resource/Karl_Marx
The Academy Award for Best Foreign Language Film,http://dbpedia.org/resource/Academy_Awards
Friedrich Wilhelm Murnau,http://dbpedia.org/resource/F._W._Murnau
the Nuremberg Laws,http://dbpedia.org/resource/Nuremberg_Laws
Bundesrat,http://dbpedia.org/resource/Bundesrat_of_Germany
Turkey,http://dbpedia.org/resource/Turkey
the Holy Roman Empire,http://dbpedia.org/resource/Holy_Roman_Empire
German Unity Day,http://dbpedia.org/resource/German_Unity_Day
West Africa,http://dbpedia.org/resource/West_Africa
the German Democratic Republic,http://dbpedia.org/resource/East_Germany
Eastern Bloc,http://dbpedia.org/resource/Eastern_Bloc
the Brothers Grimm,http://dbpedia.org/resource/Brothers_Grimm
Nebra,http://dbpedia.org/resource/Nebra_(Unstrut)
OECD,http://dbpedia.org/resource/OECD
Gründerzeit,http://dbpedia.org/resource/Gründerzeit
the Social Democratic Party of Germany,http://dbpedia.org/resource/Social_Democratic_Party_of_Germany
the European Film Academy,http://dbpedia.org/resource/European_Film_Academy
Bundesrat (Federal Council,http://dbpedia.org/resource/Bundesrat_of_Germany
France,http://dbpedia.org/resource/France
Frank-Walter Steinmeier,http://dbpedia.org/resource/Frank-Walter_Steinmeier
Teutons,http://dbpedia.org/resource/Teutons
Weser Renaissance,http://dbpedia.org/resource/Weser_Renaissance
The Berlin Zoo,http://dbpedia.org/resource/Berlin_Zoological_Garden
the World Health Organization (WHO,http://dbpedia.org/resource/World_Health_Organization
Hungary,http://dbpedia.org/resource/Hungary
Saxony,http://dbpedia.org/resource/Saxony
Bundestag,http://dbpedia.org/resource/Bundestag
Cologne Cathedral,http://dbpedia.org/resource/Cologne_Cathedral
Nuremberg,http://dbpedia.org/resource/Nuremberg
the German Confederation,http://dbpedia.org/resource/German_Confederation
Serbo-Croatian,http://dbpedia.org/resource/Serbo-Croatian
Schleswig-Holstein's,http://dbpedia.org/resource/Schleswig-Holstein
Luftwaffe,http://dbpedia.org/resource/Luftwaffe
Johann Baptist Zimmermann,http://dbpedia.org/resource/Johann_Baptist_Zimmermann
Sudetenland,http://dbpedia.org/resource/Sudetenland
Atlanticism,http://dbpedia.org/resource/Atlanticism
Caspar David Friedrich,http://dbpedia.org/resource/Caspar_David_Friedrich
Werner Herzog,http://dbpedia.org/resource/Werner_Herzog
Johann Wolfgang von Goethe,http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe
Russia,http://dbpedia.org/resource/Russia
Siemens,http://dbpedia.org/resource/Siemens
